system_name,preset,lineage,block,split,status,evidence_type,fairness_status,trust_tier,n_questions,composite_score,public_score,private_score,final_rank,local_counterpart,answer_accuracy,doc_accuracy,page_proximity,runtime_total_seconds,rerank_seconds,avg_score_delta,doc_flip_rate,page_change_rate,answer_change_rate,per_domain_score_delta,config_hash,hardware_tag,artifact_dir,notes,methodology_flags,gpu_memory_snapshots
candidate_ddl_v3_fulldev,candidate_dense_doc_lock_v3,candidate_dense_doc_lock_v3,retrieval_doc_stability,full_dev,artifact_present,offline_named_preset,fair,trusted_offline,461,0.8811827671553786,,,,,0.8937093275488069,0.9197396963123644,0.8175727172115334,1702.804037809372,578.9939336776733,0.017775823866690455,0.06941431670281996,0.16702819956616052,0.049891540130151846,"{""domain_1"": 0.03509691617137292, ""domain_2"": 0.004735609888260304}",0d33c0153be2476ff4e11e0ffb95428929d99f0a77d49841cb99922bf1b0c35d,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_ddl_v3_fulldev,,,[]
candidate_ddl_v3_lockbox,candidate_dense_doc_lock_v3,candidate_dense_doc_lock_v3,retrieval_doc_stability,lockbox,artifact_present,offline_named_preset,fair,trusted_offline,95,0.8929459788084071,,,,,0.8947368421052632,0.9473684210526315,0.8349418099704706,381.9593379497528,125.42485117912292,0.005263157894736842,0.010526315789473684,0.010526315789473684,0.0,"{""domain_1"": 0.01282051282051282, ""domain_2"": 0.0}",f10d21962a02b4b306fe0c6d62bba21907ada031bcc758b42dc16420582f6e03,unknown,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_ddl_v3_lockbox,,,[]
candidate_dense_margin_lock_v1_fold0,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.830869336615796,,,,,0.8493150684931506,0.8767123287671232,0.7481348807097585,340.9520285129547,119.3855504989624,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",30e61789795bc99e1712b2674fcc57b7afdc831342d48d5c500870ab446b6fad,a30-paper,/scratch/gilbreth/tamst01/unlp2026/outputs/paper_ablation_runs/candidate_dense_margin_lock_v1_fold0,,,[]
candidate_dense_margin_lock_v1_fold1,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,fold1,artifact_present,offline_named_preset,fair,trusted_offline,78,0.8718012114877441,,,,,0.9358974358974359,0.8333333333333334,0.7820766408227707,437.00590658187866,218.61524891853333,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",32828ae85f1a242f646004b43e5743049c783378ff67806c41610c1822a5aa3a,a30-job10490844,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_dense_margin_lock_v1_fold1,,Historical pre-audit evidence covered only fold1; later paper reruns completed the full ladder.,[]
candidate_dense_margin_lock_v1_fold1,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,fold1,artifact_present,offline_named_preset,fair,trusted_offline,78,0.8718012114877441,,,,,0.9358974358974359,0.8333333333333334,0.7820766408227707,297.30065083503723,92.46399807929993,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",b1e46e4cea359238a1c147bf011ba58893b48384d1ffe067bf8db9dc17fe4fae,a30-paper,/scratch/gilbreth/tamst01/unlp2026/outputs/paper_ablation_runs/candidate_dense_margin_lock_v1_fold1,,,[]
candidate_dense_margin_lock_v1_full_dev,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,full_dev,artifact_present,offline_named_preset,fair,trusted_offline,461,0.8610999863979284,,,,,0.8893709327548807,0.8828633405639913,0.7827947395179589,1760.2383251190186,583.1482207775116,-0.0023069568907596203,0.06290672451193059,0.15835140997830802,0.049891540130151846,"{""domain_1"": -0.011661477410366893, ""domain_2"": 0.004735609888260304}",09aaa642b455e4cf10d2c37d2d9a1f8cbf20eedf277c921ffa023c19c0e4dba3,a30-paper,/scratch/gilbreth/tamst01/unlp2026/outputs/paper_ablation_runs/candidate_dense_margin_lock_v1_full_dev,,,[]
candidate_dense_margin_lock_v1_lockbox,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,lockbox,artifact_present,offline_named_preset,fair,trusted_offline,95,0.8876828209136702,,,,,0.8947368421052632,0.9368421052631579,0.824415494180997,382.5235686302185,125.14891266822815,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",3a4cf7430cdeb1400e2b425300e829a7966ef125c4814faf6695d8ff35c4ea1f,a30-paper,/scratch/gilbreth/tamst01/unlp2026/outputs/paper_ablation_runs/candidate_dense_margin_lock_v1_lockbox,,,[]
candidate_dense_margin_lock_v1_thresh020_fold1,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,fold1,artifact_present,offline_override,override,traceable_override,78,0.8718012114877441,,,,,0.9358974358974359,0.8333333333333334,0.7820766408227707,290.40569734573364,91.08918976783752,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",6b6e7880940f0de0a48a0635c44379f8a7c0f5468ef50eabd7165c1497a81917,a30-job10490844,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_dense_margin_lock_v1_thresh020_fold1,,Traceable override run: benchmark_manifest.json preserves override_json.; Historical pre-audit evidence covered only fold1; later paper reruns completed the full ladder.,[]
candidate_dense_margin_lock_v1_thresh030_fold1,candidate_dense_margin_lock_v1,candidate_dense_margin_lock_v1,retrieval_doc_stability,fold1,artifact_present,offline_override,override,traceable_override,78,0.8718012114877441,,,,,0.9358974358974359,0.8333333333333334,0.7820766408227707,292.16513752937317,91.67246747016907,0.0,0.0,0.0,0.0,"{""domain_1"": 0.0, ""domain_2"": 0.0}",4005133cac6f77028023c726fabe5f84a5a9805f961606b881c5dc69ada56aca,a30-job10490844,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_dense_margin_lock_v1_thresh030_fold1,,Traceable override run: benchmark_manifest.json preserves override_json.; Historical pre-audit evidence covered only fold1; later paper reruns completed the full ladder.,[]
candidate_extraction_blocks_v1_fold0,candidate_extraction_blocks_v1,candidate_extraction_blocks_v1,retrieval_doc_stability,fold0,artifact_present,offline_named_preset,fair,trusted_offline,73,0.8174931789396616,,,,,0.821917808219178,0.8767123287671232,0.7494247705531658,393.38923597335815,98.80805993080139,-0.013376157676134459,0.0273972602739726,0.0821917808219178,0.0547945205479452,"{""domain_1"": -0.02642729705619982, ""domain_2"": 0.0007936507936507925}",5938d81dda600b95323aad5e74fbf9c9c34cb93d6113c471724da88e56a06cc7,a30-standby,/scratch/gilbreth/tamst01/unlp2026/outputs/benchmarks/candidate_extraction_blocks_v1_fold0,,,[]
